;doc_id;relation;used;used_Felix;Anmerkung;ner;sentence;pre_sentence;post_sentence;section_name;section_index
56755;231af7dc01a166cac3b5b01ca05778238f796e41;Method;na;;;ADAM procedure;This framework allows to show convergence for gradient descent methods beyond stochastic gradient like for the ADAM procedure where current learning parameters are memorized and updated .;;The random processes and may track the current learning status for the fast and slow iterate , respectively .;Comments .;36
73809;2e942d19333651bf6012374ea9e78d6937fd33ac;Method;0;;;position - sensitive RoI pooling;In the original R - FCN work , global average pooling is adopted to aggregate the features after position - sensitive RoI pooling into a single dimension .;;This operation leads to the uniform contribution of each position of the face .;Position - Sensitive Average Pooling;5
91504;3b1b94441010615195a5c404409ce2416860508c;Method;1;;;Stochastic gradient Descent;We use Stochastic gradient Descent ( SGD ) with mini - batches of 100 image - QA pairs .;Note that is a regularization term , where .;The attributes , internal textual representation , external knowledge embedding size , word embedding size and hidden state size are all 256 in all experiments .;An Answer Generation Model with Multiple Inputs;12
11517;063ad0349f05c8aacbbb653ffcf01047a293fa30;Method;1;;;BoW representation;Separating the left and the right context ( LR - Left - Right ) for BoW representation , does not improve the performance .;We also experimented with adding tri - grams but it did not have a positive effect on the overall scores .;Left - right pooling of dense embeddings performed weakly in comparison with other representations and therefore their results were omitted .;Results;26
78182;325093f2c5b33d7507c10aa422e96aa5b10a33f1;Method;0;;;Squeeze - and - Excitation Networks;We introduce a novel and unified layer that replaces the commonly used succession of batch normalization ( BN ) and nonlinear activation layers ( Act ) , which are integral with modern deep learning architectures like ResNet , ResNeXt , Inception - ResNet , WideResNet , Squeeze - and - Excitation Networks , DenseNet , .;In this work , we focus on increasing the memory efficiency of the training process of modern network architectures in order to further leverage performance of deep neural networks in tasks like image classification and semantic segmentation .;Our solution is coined InPlace - ABN and proposes to merge batch normalization and activation layers in order to enable in - place computation , using only a single memory buffer for storing the results ( see illustration in Figure [ reference ] ) .;Introduction;1
17901;0a34fe39e9938ae8c813a81ae6d2d3a325600e5c;Method;1;;;global alignment;In fact , it was recently claimed that a global alignment is both more robust and far faster to warp than non - parametric transformations .;Such aligned faces are then further processed in systems for face recognition , emotion recognition , age and gender estimation , and more .;This paper focuses on such global transformations , showing how they can be estimated quickly and accurately using a deep neural network .;Related work;2
43352;19fd2c2c9d4eecb3cf1befa8ac845a860083e8e7;Method;1;;;distributed framework;We applied our distributed framework for RL , known as Gorila ( General Reinforcement Learning Architecture ) , to create a massively distributed version of the DQN algorithm .;As in DistBelief , the parameters of the Q - network may also be distributed over many machines .;We applied Gorila DQN to 49 games on the Atari 2600 platform .;Introduction;1
19320;0a6d7e8e61c54c796f53120fdb86a25177e00998;Method;0;;;Universal Schema approach;For example , the Universal Schema approach factorizes a 2D unfolding of the tensor ( a matrix of entity pairs vs. relations ) while extend this also to other pairs .;Pairwise interaction models were also considered to improve prediction performances .;In the Neural Tensor Network ( NTN ) model , combine linear transformations and multiple bilinear forms of subject and object embeddings to jointly feed them into a nonlinear neural layer .;Related Work;11
100246;41d08fb733f3e50ac183490f84d6377dffccf350;Method;1;;;point cloud generation network;Using the point cloud generation network trained by either EMD or CD to is enough to outperform 3D - R2N2 's result .;The predicted volume is concatenated with the registered occupancy as the 3D conv network 's input .;The maximum performance as reported in the main paper is obtained by feeding both network 's prediction into the post processing network .;Implementation details;20
65844;2a94c84383ee3de5e6211d43d16e7de387f68878;Method;0;;;Stacked Hourglass networks;There are recent methods exploiting lateral / skip connections that associate low - level feature maps across resolutions and semantic levels , including U - Net [ reference ] and SharpMask [ reference ] for segmentation , Recombinator networks [ reference ] for face detection , and Stacked Hourglass networks [ reference ] for keypoint estimation .;SSD [ reference ] and MS - CNN [ reference ] predict objects at multiple layers of the feature hierarchy without combining features or scores .;Ghiasi et al .;Related Work;3
42487;1822ca8db58b0382b0c64f310840f0f875ea02c0;Method;0;;;CoGAN );To overcome this problem , Liu and Tuzel [ reference ] propose a coupled generative adversarial network ( CoGAN ) by employing weight - sharing networks to learn a joint distribution across domains .;The main drawback of [ reference ] is that it requires pairs of corresponding images as training data .;"More recently , CycleGAN [ reference ] introduces cycle consistency based on "" pix2pix "" framework in [ reference ] to learn the image trans -";Related Work;3
11492;063ad0349f05c8aacbbb653ffcf01047a293fa30;Method;1;;;LSTM - Final;paragraph : Final output state ( LSTM - Final ) :;Representations for a location ( ) are obtained using one of the following two approaches :;is the output embedding of the bidirectional LSTM .;Final output state ( LSTM - Final ) :;21
95487;3e95925d2bca43223453010ff8516a492287ce19;Method;1;;;local modules;In developing this encoder , we seek to better model rare slot - value pairs by sharing parameters between each slot through global modules and learning slot - specific features through local modules .;This problem is amplified in joint tracking , due to the accumulation of turn - level errors .;The global - locally self - attentive encoder consists of a bidirectional LSTM Hochreiter1997Long , which captures temporal relationships within the sequence , followed by a self - attention layer to compute the summary of the sequence .;Global - Locally Self - Attentive Encoder;3
83023;3580d8a5e7584e98d547ebfed900749d347f6714;Method;1;;;dual attention;The model consists of field - gating encoder and description generator with dual attention .;We propose a structure - aware seq2seq architecture to encode both the content and the structure of a table for table - to - text generation .;We add a field gate to the encoder LSTM unit to incorporate the field information .;Conclusions;18
